Category ,,,,,,,,,,,
About,,,,,,,,,,,"Based in New Zealand, my background is in painting, and my day job is in art education, with a teaching focus on a foundational approach to linear perspective. While studio drafting can often be a methodical process, photography, like plein air painting, is highly reactive. We’re presented with fleeting windows of changing light and movement, and we must decide what to do with them very quickly. The immediacy is what makes it so exciting to me. 

Because of my formal artistic training, I often compose my photos with painting (and painters) in mind. This comes down to the way I expose, play with colour and tonality, and treat scale and perspective through my experiments of compositing multiple telephoto exposures into a single image.

My inspirations include George Inness, William Trost Richards, John Singer Sargent, Albert Bierstadt and the Hudson River School artists, as well as the large format cinematography of Ron Fricke, and of course, Ansel Adams. 

Peter Henderson"
Landscape,Aotearoa New Zealand,South Island,"Routeburn Track, Fiordland","Routeburn Track, Fiordland",Ata Whenua,Fiordland_26.webp,Fiordland_26_1.webp,,,0R 0,,"Routeburn Track, Fiordland "
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,Kā-muriwai,Arrowtown_1.webp,Arrowtown_1_1.webp,,,+10,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,Kā-muriwai,Arrowtown_2.webp,Arrowtown_2_1.webp,,,5,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,Kā-muriwai,Arrowtown_4.webp,Arrowtown_4_1.webp,,,,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,Kā-muriwai,Arrowtown_5.webp,Arrowtown_5_1.webp,,,,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,,Arrowtown_6.webp,Arrowtown_6_1.webp,,,-5,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,,Arrowtown_7.webp,Arrowtown_7_1.webp,,,0R 0,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,,Arrowtown_8.webp,Arrowtown_8_1.webp,,,0R 0,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,,Arrowtown_9.webp,Arrowtown_9_1.webp,,,0R 0,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,,Arrowtown_10.webp,Arrowtown_10_1.webp,,,0R 0,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,,Arrowtown_11.webp,Arrowtown_11_1.webp,,,0R 0,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,,Arrowtown_12.webp,Arrowtown_12_1.webp,,,0R 0,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,,Arrowtown_13.webp,Arrowtown_13_1.webp,,,0R 0,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Arrowtown,ARROWTOWN,,Arrowtown_14.webp,Arrowtown_14_1.webp,,,0R 0,,Arrowtown
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_1.webp,Wanaka_1_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_2.webp,Wanaka_2_1.webp,,,+20,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_3.webp,Wanaka_3_1.webp,,,+15,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_4.webp,Wanaka_4_1.webp,,,+20,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_18.webp,Wanaka_18_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_19.webp,Wanaka_19_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_16.webp,Wanaka_16_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_15.webp,Wanaka_15_1.webp,,,,,Wanaka 
Landscape,Aotearoa New Zealand,South Island,Wanaka,LAKE WANAKA,Wānaka,Wanaka_13.webp,Wanaka_13_1.webp,,,+5,,Wanaka 
